year,month,37N,38N,39N,37_39_BEAUTI,,
1988,1,1.517,0.388,2.16,,,
1988,2,3.261,5.043,9.58,5.961333333,,
1988,3,16.402,12.766,25.179,18.11566667,,
1988,4,4.471,-1.628,10.962,4.601666667,9.559555556,9.559555556
1988,5,15.532,11.123,19.798,,,
1988,6,7.499,12.927,21.401,,,
1988,7,6.772,8.419,19.794,,,
1988,8,1.383,3.564,9.025,,,
1988,9,3.784,5.62,12.575,,,
1988,10,2.239,1.516,4.547,,,
1988,11,2.076,2.4,3.881,,,
1988,12,6.105,4.895,12.411,,,
1989,1,11.054,8.685,13.414,,,
1989,2,9.825,4.862,19.26,11.31566667,,
1989,3,-0.241,0.437,-0.148,0.016,,
1989,4,5.467,3.116,9.998,6.193666667,5.841777778,5.841777778
1989,5,11.795,12.904,25.379,,,
1989,6,4.826,7.534,18.102,,,
1989,7,13.079,9.442,24.146,,,
1989,8,3.29,6.948,11.219,,,
1989,9,0.77,1.104,3.538,,,
1989,10,0.98,1.12,4.236,,,
1989,11,0.93,2.129,3.162,,,
1989,12,1.216,1.324,4.571,,,
1990,1,4.775,4.693,8.789,,,
1990,2,7.849,9.436,16.87,11.385,,
1990,3,7.087,8.504,21.018,12.203,,
1990,4,8.921,10.139,21.164,13.408,12.332,12.332
1990,5,7.013,11.239,28.566,,,
1990,6,6.929,9.053,13.908,,,
1990,7,1.263,2.533,5.738,,,
1990,8,0.583,1.315,3.273,,,
1990,9,0.606,0.805,1.901,,,
1990,10,2.197,3.934,7.678,,,
1990,11,4.664,7.424,10.493,,,
1990,12,3.315,8.198,17.36,,,
1991,1,-2.745,0.438,3.311,,,
1991,2,3.603,2.567,6.623,4.264333333,,
1991,3,3.357,4.158,12.246,6.587,,
1991,4,19.485,17.377,25.472,20.778,10.54311111,10.54311111
1991,5,25.259,25.107,43.141,,,
1991,6,9.529,14.288,31.907,,,
1991,7,1.066,9.874,14.444,,,
1991,8,1.964,3.216,6.078,,,
1991,9,0.892,2.11,4.394,,,
1991,10,1.683,1.369,4.17,,,
1991,11,7.971,9.555,11.18,,,
1991,12,-3.615,-0.526,1.533,,,
1992,1,1.222,-1.547,1.345,,,
1992,2,-0.51,-2.839,-2.57,-1.973,,
1992,3,0.087,0.273,0.604,0.321333333,,
1992,4,3.165,2.594,3.255,3.004666667,0.451,0.451
1992,5,3.869,7.774,10.61,,,
1992,6,2.302,4.028,10.198,,,
1992,7,1.229,3.065,5.536,,,
1992,8,2.292,2.384,4.992,,,
1992,9,0.682,1.25,3.8,,,
1992,10,0.058,0.048,0.263,,,
1992,11,0.189,0.159,0.884,,,
1992,12,0.129,0.154,2.796,,,
1993,1,-0.265,-3.194,-0.749,,,
1993,2,-0.118,-0.934,-1.228,-0.76,,
1993,3,2.066,1.849,2.865,2.26,,
1993,4,9.812,8.689,11.304,9.935,3.811666667,3.811666667
1993,5,2.225,3.022,4.073,,,
1993,6,6.657,10.657,12.286,,,
1993,7,3.493,7.698,17.71,,,
1993,8,1.428,3.365,6.462,,,
1993,9,1.749,3.091,6.922,,,
1993,10,0.316,0.256,1.455,,,
1993,11,0.485,1.396,4.308,,,
1993,12,-0.392,-0.983,0.148,,,
1994,1,0.147,-0.1,1.708,,,
1994,2,0.464,-0.469,1.476,0.490333333,,
1994,3,2.712,2.435,4.963,3.37,,
1994,4,13.462,14.513,18.896,15.62366667,6.494666667,6.494666667
1994,5,8.52,11.875,16.045,,,
1994,6,16.018,16.121,19.103,,,
1994,7,3.903,5.377,15.015,,,
1994,8,4.493,5.004,6.512,,,
1994,9,1.093,1.323,1.954,,,
1994,10,2.719,4.13,8.432,,,
1994,11,2.059,2.508,4.973,,,
1994,12,1.14,-2.909,0.57,,,
1995,1,-5.305,-10.56,-15.855,,,
1995,2,1.777,-0.192,2.519,1.368,,
1995,3,-0.403,-1.584,0.792,-0.398333333,,
1995,4,12.192,11.644,16.777,13.53766667,4.835777778,4.835777778
1995,5,4.844,10.476,17.695,,,
1995,6,9.124,8.965,14.565,,,
1995,7,2.144,1.875,4.65,,,
1995,8,2.297,3.119,5.868,,,
1995,9,0.444,0.721,0.743,,,
1995,10,0.512,1.113,2.536,,,
1995,11,2.761,0.173,2.247,,,
1995,12,-0.342,-1.374,-0.59,,,
1996,1,1.826,1.397,3.307,,,
1996,2,-0.744,-0.85,-1.002,-0.865333333,,
1996,3,2.786,2.25,6.644,3.893333333,,
1996,4,7.255,5.224,7.183,6.554,3.194,3.194
1996,5,11.982,14.435,26.232,,,
1996,6,19.319,15.056,32.898,,,
1996,7,5.134,7.385,15.877,,,
1996,8,6.142,7.137,13.986,,,
1996,9,2.045,1.988,5.366,,,
1996,10,3.57,2.375,4.477,,,
1996,11,2.825,3.343,5.136,,,
1996,12,-1.591,-4.1,-2.138,,,
1997,1,1.264,-1.272,0.571,,,
1997,2,12.893,9.166,15.522,12.527,,
1997,3,8.533,6.787,16.252,10.524,,
1997,4,14.39,9.67,23.427,15.829,12.96,12.96
1997,5,3.277,3.139,3.597,,,
1997,6,7.984,10.001,13.117,,,
1997,7,4.433,7.587,9.588,,,
1997,8,0.691,1.119,2.172,,,
1997,9,0.044,0.04,0.185,,,
1997,10,0.076,0.616,1.638,,,
1997,11,-0.002,-0.021,0.001,,,
1997,12,0.086,0.103,0.414,,,
1998,1,-0.529,-1.359,-1.915,,,
1998,2,0.198,-0.82,0.463,-0.053,,
1998,3,3.845,3.208,7.275,4.776,,
1998,4,6.649,7.54,13.526,9.238333333,4.653777778,4.653777778
1998,5,1.881,1.719,5.483,,,
1998,6,3.513,5.876,12.388,,,
1998,7,4.752,6.097,12.661,,,
1998,8,1.759,3.961,9.411,,,
1998,9,0.247,1.284,4.257,,,
1998,10,2.388,2.851,5.01,,,
1998,11,1.121,-0.824,0.784,,,
1998,12,6.862,6.023,12.337,,,
1999,1,2.898,5.706,7.52,,,
1999,2,4.862,2.307,1.289,2.819333333,,
1999,3,7.635,7.623,8.838,8.032,,
1999,4,27.233,27.164,47.667,34.02133333,14.95755556,14.95755556
1999,5,24.467,16.297,47.661,,,
1999,6,14.29,13.263,34.132,,,
1999,7,6.234,7.782,17.461,,,
1999,8,3.413,3.419,4.53,,,
1999,9,0.887,2.318,8.033,,,
1999,10,1.341,1.702,5.147,,,
1999,11,1.622,-0.774,-0.527,,,
1999,12,8.626,7.217,11.529,,,
2000,1,-0.074,0.957,1.528,,,
2000,2,-3.673,-3.33,-1.583,-2.862,,
2000,3,16.138,14.21,27.973,19.44033333,,
2000,4,7.449,5.635,9.752,7.612,8.063444444,8.063444444
2000,5,11.959,11.946,16.397,,,
2000,6,4.909,7.757,13.302,,,
2000,7,8.736,9.915,17.572,,,
2000,8,3.65,6.03,10.495,,,
2000,9,1.122,2.13,4.136,,,
2000,10,2.925,3.632,6.293,,,
2000,11,4.944,2.735,6.209,,,
2000,12,1.863,1.789,3.499,,,
2001,1,2.859,2.628,4.392,,,
2001,2,1.377,4.781,5.834,3.997333333,,
2001,3,8.769,10.299,20.602,13.22333333,,
2001,4,16.143,16.626,25.426,19.39833333,12.20633333,12.20633333
2001,5,13.173,24.312,35.774,,,
2001,6,16.301,25.468,32.484,,,
2001,7,4.169,10.59,21.196,,,
2001,8,7.325,8.939,9.63,,,
2001,9,2.625,3.443,6.161,,,
2001,10,3.203,4.69,9.323,,,
2001,11,1.26,0.059,0.97,,,
2001,12,1.103,2.216,4.675,,,
2002,1,8.134,6.177,12.807,,,
2002,2,-1.879,3.257,4.81,2.062666667,,
2002,3,11.329,8.196,18.625,12.71666667,,
2002,4,12.487,8.7,25.684,15.62366667,10.13433333,10.13433333
2002,5,24.689,15.368,35.645,,,
2002,6,23.651,28.212,50.279,,,
2002,7,3.761,5.342,17.338,,,
2002,8,4.233,7.678,17.016,,,
2002,9,1.696,1.635,5.542,,,
2002,10,3.957,5.636,10.907,,,
2002,11,0.736,-1.231,-1.168,,,
2002,12,-1.733,-2.301,-3.741,,,
2003,1,0.13,-0.25,-0.322,,,
2003,2,3.764,3.18,6.145,4.363,,
2003,3,7.841,4.29,8.352,6.827666667,,
2003,4,6.817,3.686,8.566,6.356333333,5.849,5.849
2003,5,19.589,20.074,28.824,,,
2003,6,13.336,11.524,32.966,,,
2003,7,5.024,7.085,24.147,,,
2003,8,0.895,1.155,3.365,,,
2003,9,0.73,1.405,3.004,,,
2003,10,5.188,3.457,7.212,,,
2003,11,1.615,1.042,0.291,,,
2003,12,-0.172,-0.385,-2.752,,,
2004,1,2.201,0.708,2.505,,,
2004,2,-2.799,-1.532,0.99,-1.113666667,,
2004,3,13.725,12.43,19.905,15.35333333,,
2004,4,13.291,4.311,12.705,10.10233333,8.114,8.114
2004,5,14.469,11.263,15.662,,,
2004,6,14.843,12.301,19.932,,,
2004,7,3.902,3.368,6.035,,,
2004,8,3.336,2.749,3.154,,,
2004,9,2.303,4.979,8.163,,,
2004,10,1.566,1.888,2.511,,,
2004,11,2.784,5.76,9.429,,,
2004,12,-1.139,-1.68,2.098,,,
2005,1,0.373,-3.114,-3.713,,,
2005,2,-1.673,-1.378,-0.148,-1.066333333,,
2005,3,3.086,2.861,3.883,3.276666667,,
2005,4,12.437,6.545,14.673,11.21833333,4.476222222,4.476222222
2005,5,4.971,4.49,6.595,,,
2005,6,19.198,14.745,22.635,,,
2005,7,5.646,6.995,17.63,,,
2005,8,4.247,4.448,14.45,,,
2005,9,3.991,6.781,13.905,,,
2005,10,4.541,3.325,5.216,,,
2005,11,3.731,3.257,4.768,,,
2005,12,-2.541,0.85,0.62,,,
2006,1,1.656,0.305,0.436,,,
2006,2,4.544,4.99,7.256,5.596666667,,
2006,3,4.743,5.287,3.812,4.614,,
2006,4,4.337,9.04,16.844,10.07366667,6.761444444,6.761444444
2006,5,14.215,14.28,26.808,,,
2006,6,9.297,10.19,20.094,,,
2006,7,10.266,8.11,17.093,,,
2006,8,2.419,5.8,17.761,,,
2006,9,3.838,7.382,15.677,,,
2006,10,0.501,0.95,2.139,,,
2006,11,1.038,-0.666,0.677,,,
2006,12,2.567,0.889,2.333,,,
2007,1,8.153,10.952,13.363,,,
2007,2,5.647,5.496,14.716,8.619666667,,
2007,3,12.33,14.578,26.715,17.87433333,,
2007,4,23.681,8.319,25.383,19.12766667,15.20722222,15.20722222
2007,5,15.501,18.45,34.307,,,
2007,6,17.384,17.082,33.5,,,
2007,7,4.095,3.568,12.17,,,
2007,8,3.063,1.818,6.951,,,
2007,9,1.905,3.738,8.099,,,
2007,10,4.133,2.864,4.365,,,
2007,11,5.27,4.708,9.757,,,
2007,12,6.3,3.147,6.841,,,
2008,1,-6.24,-4.725,0.173,,,
2008,2,9.267,7.768,15.419,10.818,,
2008,3,29.621,14.024,26.171,23.272,,
2008,4,26.55,13.895,22.793,21.07933333,18.38977778,18.38977778
2008,5,25.757,27.598,40.162,,,
2008,6,17.097,22.705,39.454,,,
2008,7,5.253,6.544,13.561,,,
2008,8,4.026,7.392,15.841,,,
2008,9,0.403,0.956,4.644,,,
2008,10,2.83,4.574,8.455,,,
2008,11,2.474,0.696,1.164,,,
2008,12,4.941,1.746,6.34,,,
2009,1,4.812,1.871,5.413,,,
2009,2,-0.651,-1.513,-1.243,-1.135666667,,
2009,3,20.156,19.815,26.478,22.14966667,,
2009,4,23.403,20.036,27.489,23.64266667,14.88555556,14.88555556
2009,5,13.58,17.238,26.164,,,
2009,6,5.278,7.954,15.854,,,
2009,7,4.909,5.978,13.123,,,
2009,8,2.826,3.298,5.684,,,
2009,9,1.929,2.805,3.422,,,
2009,10,4.359,7.12,9.848,,,
2009,11,6.714,4.602,7.944,,,
2009,12,-3.65,-0.067,-1.357,,,
2010,1,-2.691,-4.034,-2.49,,,
2010,2,-0.133,-1.401,0.826,-0.236,,
2010,3,7.259,5.354,8.798,7.137,,
2010,4,13.229,14.755,20.924,16.30266667,7.734555556,7.734555556
2010,5,22.709,17.398,18.487,,,
2010,6,22.481,23.533,31.701,,,
2010,7,6.82,13.033,26.393,,,
2010,8,7.902,10.554,18.372,,,
2010,9,4.013,3.052,5.376,,,
2010,10,0.909,2.298,4.444,,,
2010,11,5.625,4.001,6.146,,,
2010,12,-3.141,-2.732,-3.95,,,
2011,1,5.127,5.171,5.237,,,
2011,2,6.293,4.748,7.107,6.049333333,,
2011,3,1.707,1.375,-1.285,0.599,,
2011,4,15.664,13.929,16.158,15.25033333,7.299555556,7.299555556
2011,5,15.616,14.716,24.877,,,
2011,6,15.948,16.443,26.033,,,
2011,7,7.106,6.981,18.616,,,
2011,8,6.836,9.161,12.855,,,
2011,9,1.963,3.338,4.337,,,
2011,10,1.583,1.931,3.399,,,
2011,11,1.819,2.864,3.759,,,
2011,12,-0.691,3.028,11.095,,,
2012,1,3.743,2.775,2.599,,,
2012,2,20.011,16.775,20.855,19.21366667,,
2012,3,0.814,-3.345,-0.643,-1.058,,
2012,4,11.035,6.392,9.997,9.141333333,9.099,9.099
2012,5,25.262,17.049,32.041,,,
2012,6,18.337,21.78,29.181,,,
2012,7,7.178,10.787,17.74,,,
2012,8,3.545,5.92,8.836,,,
2012,9,2.249,2.728,5.24,,,
2012,10,0.418,1.121,1.631,,,
2012,11,0.044,-0.323,-0.22,,,
2012,12,0.568,1.963,1.887,,,
2013,1,8.218,4.485,7.699,,,
2013,2,12.899,17.369,21.821,17.363,,
2013,3,9.91,12.425,17.677,13.33733333,,
2013,4,20.3,32.431,41.843,31.52466667,20.74166667,20.74166667
2013,5,16.85,16.247,22.949,,,
2013,6,11.988,17.219,26.28,,,
2013,7,4.963,13.095,22.459,,,
2013,8,5.38,8.198,8.687,,,
2013,9,3.318,4.421,4.653,,,
2013,10,5.333,8.925,10.806,,,
2013,11,4.302,6.477,5.993,,,
2013,12,5.733,4.754,10.575,,,
2014,1,2.116,-0.488,0.965,,,
2014,2,2.2,1.321,1.423,1.648,,
2014,3,0.51,1.956,3.836,2.100666667,,
2014,4,7.396,9.833,10.452,9.227,4.325222222,4.325222222
2014,5,15.202,19.9,22.189,,,
2014,6,11.879,20.057,34.233,,,
2014,7,3.595,5.973,7.378,,,
2014,8,1.809,3.034,11.138,,,
2014,9,0.449,1.433,3.164,,,
2014,10,0.315,0.281,0.632,,,
2014,11,0.076,0.035,0.025,,,
2014,12,0.134,0.151,0.356,,,
2015,1,0.759,0.251,0.416,,,
2015,2,0.417,0.515,1.166,0.699333333,,
2015,3,3.003,4.182,5.11,4.098333333,,
2015,4,13.043,21.715,22.211,18.98966667,7.929111111,7.929111111
2015,5,9.97,17.522,27.514,,,
2015,6,7.399,11.681,17.491,,,
2015,7,0.816,3.06,6.59,,,
2015,8,1.209,1.651,5.085,,,
2015,9,0.76,2.323,4.097,,,
2015,10,0.073,0.311,0.957,,,
2015,11,1.979,1.341,1.766,,,
2015,12,1.574,0.901,1.275,,,
2016,1,-1.7,-1.493,-5.571,,,
2016,2,2.276,0.686,0.759,1.240333333,,
2016,3,2.948,2.883,2.094,2.641666667,,
2016,4,10.087,11.897,13.095,11.693,5.191666667,5.191666667
2016,5,5.361,13.788,19.51,,,
2016,6,10.508,15.792,19.4,,,
2016,7,7.956,15.477,20.05,,,
2016,8,2.548,3.982,8.25,,,
2016,9,3.532,4.885,10.373,,,
2016,10,1.126,0.33,1.013,,,
2016,11,0.663,0.279,0.007,,,
2016,12,3.953,1.971,3.118,,,
2017,1,-0.972,-0.285,-0.16,,,
2017,2,-1.263,0.645,-1.422,-0.68,,
2017,3,4.604,3.923,3.607,4.044666667,,
2017,4,7.017,8.157,8.559,7.911,3.758555556,3.758555556
2017,5,17.217,25,30.684,,,
2017,6,11.665,15.916,20.73,,,
2017,7,9.757,13.538,24.207,,,
2017,8,5.055,2.456,8.977,,,
2017,9,0.361,-0.752,6.09,,,
2017,10,3.793,6.56,10.005,,,
2017,11,0.072,0.154,-0.466,,,
2017,12,2.166,2.071,3.236,,,
2018,1,0.572,0.458,-0.251,,,
2018,2,10.367,12.977,17.288,13.544,,
2018,3,0.333,0.235,2.576,1.048,,
2018,4,6.526,9.34,11.541,9.135666667,7.909222222,7.909222222
2018,5,13.016,19.525,29.461,,,
2018,6,18.374,24.909,33.899,,,
2018,7,5.462,8.057,17.698,,,
2018,8,5.185,7.778,15.679,,,
2018,9,5.195,8.627,13.525,,,
2018,10,1.588,3.94,4.326,,,
2018,11,1.245,1.526,5.091,,,
2018,12,2.201,2.064,2.228,,,
2019,1,-2.422,-1.952,-4.101,,,
2019,2,0.802,2.285,4.299,2.462,,
2019,3,2.459,2.017,2.753,2.409666667,,
2019,4,9.829,12.911,20.871,14.537,6.469555556,6.469555556
2019,5,5.25,10.946,17.315,,,
2019,6,9.53,16.905,39.943,,,
2019,7,10.202,16.21,27.213,,,
2019,8,6.099,3.503,11.442,,,
2019,9,2.53,4.293,9.937,,,
2019,10,3.718,4.08,6.361,,,
2019,11,2.712,3.933,6.422,,,
2019,12,-2.912,-3.124,-2.968,,,
2020,1,3.012,1.881,2.827,,,
2020,2,10.199,15.698,22.093,15.99666667,,
2020,3,1.945,4.962,11.349,6.085333333,,
2020,4,9.511,10.482,15.231,11.74133333,11.27444444,11.27444444
2020,5,8.226,9.021,16.398,,,
2020,6,12.397,15.51,27.05,,,
2020,7,10.41,9.731,21.492,,,
2020,8,6.766,7.413,16.289,,,
2020,9,3.812,2.113,4.839,,,
2020,10,2.504,3.201,8.4,,,
2020,11,5.507,4.672,7.688,,,
2020,12,5.466,4.618,6.203,,,
2021,1,6.213,3.262,3.997,,,
2021,2,12.283,17.981,22.337,17.53366667,,
2021,3,11.293,9.242,21.203,13.91266667,,
2021,4,13.539,16.318,37.21,22.35566667,17.934,17.934
2021,5,27.867,31.506,57.187,,,
2021,6,7.158,7.774,25.68,,,
2021,7,7.998,14.709,38.577,,,
2021,8,3.755,5.816,20.228,,,
2021,9,3.895,4.53,9.382,,,
2021,10,1.928,2.671,6.241,,,
2021,11,1.191,0.358,0.921,,,
2021,12,1.026,0.863,-1.476,,,
2022,1,2.628,-0.574,-0.337,,,
2022,2,7.33,7.653,14.33,9.771,,
2022,3,13.444,13.23,14.988,13.88733333,,
2022,4,20.307,23.285,30.138,24.57666667,16.07833333,16.07833333
2022,5,32.946,30.518,32.755,,,
2022,6,15.702,11.39,19.116,,,
2022,7,8.029,6.984,17.777,,,
2022,8,5.352,4.835,11.966,,,
2022,9,2.918,3.587,7.028,,,
2022,10,2.984,6.214,8.392,,,
2022,11,3.148,2.286,2.981,,,
2022,12,0.334,-0.953,-1.669,,,
2023,1,-1.116,-0.875,-1.775,,,
2023,2,6.468,9.115,13.257,9.613333333,,
2023,3,3.773,6.304,4.83,4.969,,
2023,4,17.822,18.852,18.912,18.52866667,11.037,11.037
2023,5,7.26,12.557,23.983,,,
2023,6,8.716,10.089,25.376,,,
2023,7,12.494,12.661,26.854,,,
2023,8,5.247,5.552,14.553,,,
2023,9,1.716,2.772,8.066,,,
2023,10,1.159,1.459,3.842,,,
